"id","job_title","company_name","location","job_url","salary_info","job_description","source_site","scraped_at"
1,"Full Stack Engineer","Planning Center","Carlsbad, CA","https://weworkremotely.com/remote-jobs/planning-center-full-stack-engineer","$100,000 or more USD","About Planning Center
Planning Center, established in 2006, has grown to support over 85,000 churches worldwide. As an independent company, we pride ourselves on being debt-free with no outside investors. Churches use our tools to communicate and connect with their congregations, organize information, and coordinate events. We’re committed to building great products that solve real problems using web and mobile products.
Our team enjoys the flexibility of remote work, utilizing tools like Asana, Slack, Notion, and Zoom for collaboration. We gather quarterly at our main office in Carlsbad, CA, fostering our work relationships.
About the Work
We’re seeking a Full Stack Engineer for our Church Center/Publishing product team, with significant experience (4+ years) in Ruby on Rails and a solid understanding of React. Our team is responsible for Church Center (currently serving 7 million active users) and the Publishing admin application to support it. You’ll work on building out new features from start to finish, refining existing features, improving performance, and ensuring the security of our customer’s data.
 Responsibilities
Translating the product manager’s feature pitches into technical specifications 
Implementing those technical specifications as a series of small, descriptive, and well-tested GitHub pull request
Pairing with your designer and developer teammates 
Reviewing your teammates’ pull requests to increase the quality of what we build and learn from one another 
Deploying to production with one click 
Investigating customer-reported bugs that have been triaged and researched by our fantastic support team 
Diagnosing errors that come in through our error monitoring tools 
Improving performance guided by Datadog and AWS Performance Insights 
Participating in book and code clubs to learn with/from other developers

Who We Look For
The best fits for any role on the Planning Center team are people embodying our Core Values:
 Engage with Humility - We actively participate with openness and receptiveness. We are ready to listen, learn, and speak thoughtfully and kindly—regardless of skill level, expertise, or place on the org chart.
Invest in our team - We give our time and energy to our team’s success—improving collaboration with effective communication, making space for diverse perspectives, sharing knowledge, and asking questions.
Do Our Best Work - We aspire to do our best possible work—continually looking for ways to improve the quality of our individual output and contribute to our team's overall success and growth.
Focus on Customer Impact - We advocate for our customer’s best interests in our decision-making—we can trace the goal of every project back to creating positive value for our customers.
Think Holistically, Work Iteratively - We focus on taking practical steps towards our goals with an awareness of the broader context—thinking big, working small.
 We believe the strongest teams comprise people with diverse backgrounds and experiences, and we are committed to cultivating that diversity here at Planning Center. We're building an inclusive, supportive place for you to do your best work.
 The Hiring Process
During the hiring process, you’ll have a chance to interact with several members of our team. We strongly encourage you to bring any questions to anybody you interact with. You’re interviewing us as much as we’re interviewing you.
 Below is an outline of the steps in our hiring process.
 Step One: Apply with a resume and cover letter. Your cover letter should speak directly to your interest in this position as well as to showcase your written communication. We want to know what got you into development, how your experience has set you up for success in this role, and why you want to join our team.

Note: We read every cover letter—it’s your chance to show us why this role and Planning Center resonate with you. While we value AI tools and their role in modern work, we ask that your cover letter reflect your own voice and genuine interest. Applications without a cover letter will not be considered.
 Step Two: If selected to move forward, an invitation to an online coding assessment to get a rough understanding of your developer prowess
Step Three: Initial phone screen with our Talent Acquisition Specialist to get to know one another and discuss work and culture
Step Four: Technical Interview with a few developers. During this time, we'll discuss your work experience, methodologies, and you can ask any lingering questions you have for us.
Step Five: Career Interview- We will thoroughly review your career history, exploring your past working experiences and leadership style.
Step Six: Pending all goes well, we'll extend an offer
 Requirements
Reside in the United States
Eligible to work in the United States (we are currently unable to offer employment to those with H-1B visas)
Be willing to travel four times each year to connect with the rest of the team
4+ years of professional experience in Ruby on Rails
Professional experience in React.
Note: If you've applied for this same role within the past 9 months, we kindly ask that you do not reapply at this time. We thoughtfully review each application, and while we may not move forward now, we encourage you to apply for future opportunities that align with your experience.

Benefits
We love our team. It’s one of the core pillars we work off of every day, which is why we take care of you as best we can. Here are a few highlights, but you can find all our benefits here.

Get paid: We pay competitive rates no matter where you live, contribute to your 401k, provide a charitable giving match of up to $2,000 a year, have a generous allowance for continued education, and offer a co-working stipend. The annual salary range for this position is $146,600 - $175,000.

Be healthy: Generous paid sick time and vacation time, $200 a month for physical fitness and mental health, 95% medical & 100% dental premium health coverage.

Get out: Paid Fridays off in the summer, every other Friday off the rest of the year, a month-long sabbatical every five years, one week off between Christmas & New Year, one week off a year to serve with a globally-focused non-profit, and two weeks paid vacation a year increasing to three over time.
The pay range for this role is:
146,600 - 175,000 USD per year (Remote)","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
2,"Senior Software Engineer","Intellisync SRL","Acireale, Italy","https://weworkremotely.com/remote-jobs/intellisync-srl-senior-software-engineer",NULL,"We are building multiple teams of senior developers to build a new product line for Intellisync in the field of cybersecurity and artificial intelligence. If you’re a software engineer eager for new challenges, thrive in a zero-to-one environment, and want to collaborate remotely with top developers, you might be the one we’re looking for! 
What You’ll Do
Write high-quality code and contribute to building complete systems (backend and frontend), not just isolated components.
Architect, design and develop a new enterprise-grade product, tackling a variety of complex and rewarding challenges.
Lead by example in building a strong DevOps culture with automated deployment pipelines.
Create solutions with real-world impact in the defense and aerospace sectors.
Work alongside exceptional developers, learning and sharing knowledge every day.
About You
You are smart and get things done
You’re smart, proactive, and consistently deliver high-quality software.
You have experience in system architecture, databases, and are comfortable with both strongly typed and dynamic programming languages. You have strong but weakly held opinions on software development.
Your attention to detail ensures reliable, scalable solutions.
You enjoy being challenged and are energized by continuous learning.
You can work with at least a 4-hour overlap with CET and preferably are based in Europe or Africa.
You’re eligible to obtain a visa and can travel to Italy within three months of hiring.
Why Join Us
We are a remote-first company and this is a fully remote position.
We build amazing teams with brilliant, happy, and motivated developers.
Earn Euro-level salaries with over 30 days of vacation, sick pay, and other benefits.
The role is a permanent full-time position. We invest in people and understand great things happen if we do.
Be part of our amazing company trajectory over the next five years.
Travel to Sicily, Italy once a year for a fully paid company retreat.
We celebrate diversity in all forms and encourage applications from candidates of all backgrounds, regardless of race, ethnicity, gender, orientation, age, or religion. If this role excites you but you don’t meet all the criteria, we still encourage you to apply – we’d love to hear from you! ","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
3,"Ruby on Rails Engineer with Shopify App Experience","Rivo Commerce","United States","https://weworkremotely.com/remote-jobs/rivo-commerce-ruby-on-rails-engineer-with-shopify-app-experience-1",NULL,"Howdy! Stuart here, founder and Head of Engineering at Rivo! 
Are you a Full-Stack Rails engineer with 5+ years of experience?
Interested in working on the edge of what Rails has to offer when it comes to new features and developments
Do you enjoy using AI tools like Claude Code in your everyday coding?
Would building and scaling a fast-growing SaaS company while sticking to Rails best practices fire you up?
If so, awesome! Keep reading!
About the job
With the help of our small team, (and some awesome team members at Thoughtbot), we've built an amazing platform on Rails that has scaled wonderfully so far. 
 To give a small indication, we process roughly 20-30M Sidekiq Jobs per day and are adding 10-15M db rows per day.
 Your job is to help us scale as a Full-Stack Rails Engineer. This is a remote, full-time role (40+ hours/week).
How Are We Different?
We might lose you here :) 
 We believe in writing Rails in a particular style, sticking close to standardrb and general Rails best practices.
 If a feature takes our competitors 8 weeks to build, we build a solid MVP in 8-10 days. We utilize the 80/20 principle to focus on what matters and just ship. Of course, we look at the usage metrics, then come back and complete the other 20% over time.

We rely on tools like Claude Code to remove countless hours of monotonous work and let us focus on shipping meaningful updates and features.
 If this sounds like your style, we'd love to chat!
Who you are
You’re self-driven and work autonomously with limited guidance
You believe and use AI in your day to day coding.
You can operate in a high-octane environment
You utilize the Pareto Principle (80/20)
You prefer async meetings and moving fast
You have a profound passion for Rails best practice
What will you be responsible for
Shipping high quality production code that follows Rails best practices.
Helping us scale a fast growing, product focused, SaaS company.
Requirements
5+ years of professional software development experience with Ruby / Ruby on Rails
Having experience in the Shopify ecosystem, particularly the shopify_app and shopify_api gems are a HUGE plus, but not a hard requirement.
In-depth knowledge of database systems, particularly relational databases (e.g., Postgres, Sidekiq and Redis)
The ability to adjust to our high-octane workflow. One of our core values is to create what works in its simplest form and iterate based on metrics and feedback. We don't have long release cycles.
The ability to work in EST or PDT timezone, or at least overlap by 5 hours
Ability to write efficient and optimized code, following best practices and design patterns
Things we love ❤️
Living by our SPEED core values of Speed, Pareto Principle, Evidence-Based, End Results, and Disrupt.
Helping our users succeed and generate real ROI from our software
Having a stress-free work environment
Being a 100% remote & 100% global team
 Things we avoid
Micro-managing
Egos & Drama
Wasting time
Salary
Salary is negotiable and based on experience. Everyone should earn what they feel is fair. This is a remote, full-time role (40+ hours/week). 
Does it sound like you'd be a good fit? Please complete the application form and we'll be in touch!","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
4,"AI-Focused Ruby on Rails Engineer","Rivo Commerce","United States","https://weworkremotely.com/remote-jobs/rivo-commerce-ai-focused-ruby-on-rails-engineer",NULL,"Howdy! Stuart here, founder and Head of Engineering at Rivo! 
Are you a Full-Stack Rails engineer with 7+ years of experience?
Are you sold on the future of engineering revolving around agentic tools like Claude Code?
Would building and scaling a fast-growing SaaS company while sticking to Rails best practices fire you up?
If so, awesome! Keep reading!
About the job
With the help of our small team, (and some awesome team members at Thoughtbot), we've built an amazing platform on Rails that has scaled wonderfully so far. 
 To give a small indication, we process roughly 20-30M Sidekiq Jobs per day and are adding 10-15M db rows per day.
 Your job is to help us scale as a Full-Stack Rails Engineer. This is a remote, full-time role (40+ hours/week).
How Are We Different?
We might lose you here :) 
 We believe in writing Rails in a particular style, sticking close to standardrb and general Rails best practices.
 If a feature takes our competitors 8 weeks to build, we build a solid MVP in 8-10 days. We utilize the 80/20 principle to focus on what matters and just ship. Of course, we look at the usage metrics, then come back and complete the other 20% over time.

We rely on agentic AI tools like Claude Code to remove countless hours of monotonous work and let us focus on shipping meaningful updates and features.
 If this sounds like your style, we'd love to chat!
Who you are
You’re self-driven and work autonomously with limited guidance
You believe and use AI in your day to day coding.
You can operate in a high-octane environment
You utilize the Pareto Principle (80/20)
You prefer async meetings and moving fast
You have a profound passion for Rails best practice
What will you be responsible for
Shipping high quality production code that follows Rails best practices.
Helping us scale a fast growing, product focused, SaaS company.
Requirements
7+ years of professional software development experience with Ruby / Ruby on Rails
Having experience in the Shopify ecosystem, particularly the shopify_app and shopify_api gems are a HUGE plus, but not a hard requirement.
In-depth knowledge of database systems, particularly relational databases (e.g., Postgres, Sidekiq and Redis)
The ability to adjust to our high-octane workflow. One of our core values is to create what works in its simplest form and iterate based on metrics and feedback. We don't have long release cycles.
The ability to work in EST or PDT timezone, or at least overlap by 5 hours
Ability to write efficient and optimized code, following best practices and design patterns
Things we love ❤️
Living by our SPEED core values of Speed, Pareto Principle, Evidence-Based, End Results, and Disrupt.
Helping our users succeed and generate real ROI from our software
Having a stress-free work environment
Being a 100% remote & 100% global team
 Things we avoid
Micro-managing
Egos & Drama
Wasting time
Salary
Salary is negotiable and based on experience. Everyone should earn what they feel is fair. This is a remote, full-time role (40+ hours/week).
Does it sound like you'd be a good fit? Please complete the application form and we'll be in touch!","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
5,"Principal Software Engineer, Fullstack Developer","Coinbase Developer Platforms","Wilmington, Delaware, US","https://weworkremotely.com/remote-jobs/coinbase-developer-platforms-principal-software-engineer-fullstack-developer","$25,000 - $48,999 USD"," Overview:
Ready to be pushed beyond what you think you’re capable of?
At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.
To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.

While many roles at Coinbase are remote-first, we are not remote-only. In-person participation is required throughout the year. Team and company-wide offsites are held multiple times annually to foster collaboration, connection, and alignment. Attendance is expected and fully supported.

The Coinbase Developer Platform APIs are the easiest way for developers to get started with building crypto applications. Conceived by Coinbase CEO Brian Armstrong, these APIs enable those with no prior knowledge of crypto to begin sending and receiving crypto in as little as 30 seconds. A top priority of the Coinbase Developer Platform (CDP), the CDP APIs encapsulate some of the most cutting-edge technologies in crypto by externalizing Coinbase’s internal services, built over more than a decade of experience. The CDP APIs combine custodial and non-custodial wallets into one clean abstraction, making interactions with the blockchain simple and painless.

The CDP API team owns both server-side APIs and client-side libraries across different languages. The team seeks a full-stack engineer who is passionate about all aspects of excellent developer experiences: authoring clear and informative documentation, building compelling sample applications, interacting directly with customers to incorporate feedback, architecting delightfully simple SDKs, etc. The engineer must be comfortable operating in both frontend and backend codebases, fluent across a variety of programming languages, and demonstrate both high code velocity and quality simultaneously. The CDP API team consists of some of the most prolific and tenured software engineers at Coinbase, and is excited to ship a game-changing set of APIs and SDKs at breakneck speed.
 
What you’ll be doing (ie. job duties):
⦁    Design, develop, and maintain scalable, secure, and high-performance backend systems for the CDP APIs using Go and Javascript
⦁    Define and maintain clean and conformant HTTP REST API definitions using OpenAPI specifications
⦁    Design, develop, and maintain ergonomic, open-source SDKs to interact with the CDP APIs using Ruby, Typescript, Go, Python, and Java 
⦁    Author, publish, and maintain clear and concise documentation, including quickstart and how-to guides, to increase adoption of the Platform APIs and SDKs
⦁    Develop secure and scalable key management systems, packaged as Docker images, to enable crypto wallet functionality across a range of custodial configurations (e.g. self-custodial MPC)
⦁    Work closely with many different teams at Coinbase to externalize their backend services through the Platform APIs, ensuring consistency of concepts, style, and design
⦁    Interface directly with customers to collect their feedback and iteratively improve the CDP APIs and SDKs
⦁    Build compelling sample applications end-to-end using the CDP APIs and SDKs to demonstrate their value and pressure-test the developer experience
⦁    Troubleshoot and debug complex fullstack issues, ensuring stability, reliability, and security
⦁    Participate in code reviews and provide constructive feedback to maintain high code quality standards
 What we look for in you (ie. job requirements):
⦁    5+ years of experience in both backend and frontend software development
⦁    Mastery of JavaScript and Python; experience with TypeScript, Ruby, Go, and Java is a plus
⦁    Excellent verbal and written communication skills, with an eye for detail and a passion for clear, comprehensive developer documentation
⦁    Strong understanding of crypto wallets, including key management, cryptography, and blockchain protocols (e.g. EVM)
⦁    Proven track record of designing, developing, and shipping high-quality, ergonomic client-side libraries and SDKs
⦁    Strong understanding of distributed systems, microservices architecture, and event-driven architectures
⦁    Experience with databases (PostgreSQL, MySQL, MongoDB) and caching systems (Redis, Memcached)
⦁    Solid knowledge of RESTful API design principles and experience with API development and integration
⦁    Familiarity with AWS and containerization technologies like Kubernetes
⦁    Understanding of security best practices and experience with implementing secure coding practices for financial systems
⦁    Crypto-forward experience, including familiarity with onchain activity such as interacting with Ethereum addresses, using ENS, and engaging with dApps or blockchain-based services.
Please submit the detailed information to this form for describing your experiences.","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
6,"Senior Fullstack Developer","Zencastr","Zencastr","https://weworkremotely.com/remote-jobs/zencastr-senior-fullstack-developer",NULL,"Empower the voices of the world @ Zencastr. If you want to push the world of podcasting into the future, come join a team who loves to live on the edge! We are a fully distributed team of smart people who are passionate about changing the world one voice at a time.
 You should join us if you:
Have significant experience with Node.js and good knowledge of JS fundamentals
Have a good understanding of computer science fundamentals. You might not have gone to school for it, but you know the difference between heap and stack, different time complexities, and which patterns to use and when.
You are ambitious. You might want to build your own company one day or have tried to tackle the toughest tech problems just for fun.
You enjoy writing Javascript or Typescript
You have an eye for performance. Whether thinking about the latest client side bundling techniques, or the proper way to shard a mongo database, you want things to be fast.
You are just as comfortable working in a browser context or a node.js runtime
You are a team player
You have good communication skills
What sets you apart:
You have a passion for high performance applications
You have significant open source contributions
You want to work in a fast growing startup. Which comes with the blood, sweat and tears of working to disrupt an established industry
You have empathy for the end user. A spec is a conversation starter, as an advocate for the end user you always are thinking about how to best serve their needs
You have an eye for code quality and you strive to uphold best practices in engineering, security, and design
Why you should choose us:
You’ll be working with world class engineers, Phd’s, and designers in a fully distributed team
Work in an agile and fast changing environment
Equity commensurate to your contribution in a profitable company
Health insurance
Unique challenges and the support and talent to solve them
4 weeks PTO
Freedom to work where you please
What we’re looking for:
5+ years of Typescript, React, Node.js development
Strong document / key-value store knowledge (Redis, MongoDB)
Strong SQL knowledge
Strong HTML / CSS / React knowledge
Demonstrable knowledge of building scaleable consumer based apps
Strong experience with unit, integration, and load testing
Experience building APIs
Experience with cloud APIs (Google Cloud, Digital Ocean)
Bonus points if you have:
Experiencing working in high traffic, low latency applications
Good dev ops experience
Digital Signal Processing experience
Strong SQL knowledge
 How to apply:
Apply at https://jobs.ashbyhq.com/zencastr/c4c91cc0-c5f9-4773-ab04-d239f9455aee
We are flexible! For the right candidate we ask: What do you need to do your best work?","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
7,"PHP Full-Stack Developer","OnTheGoSystems","100% remote","https://weworkremotely.com/remote-jobs/onthegosystems-php-full-stack-developer-2",NULL,"We're looking for Senior PHP and JS developers who are passionate about quality, love solving challenging problems, and enjoy building products used by millions.
Why Join Us?
Trusted & Profitable: Since 2007, OTGS has grown into a self-funded and stable company supporting over 1.5 million websites worldwide.
Remote-first: Join a diverse team of smart and friendly people working from all corners of the world.
Creators of WPML: You'll contribute to the #1 multilingual plugin for WordPress, used by hundreds of thousands of happy clients every day.
Real Impact: Your work will directly improve the experience of users around the globe.
Growth-friendly: We support your personal and professional development through mentorship, learning tools, and internal opportunities.
Wellbeing focused: We offer great benefits to help you thrive both in and out of work.

Indicators You're a Great Fit
Strong experience with PHP, and JS
Deep understanding of databases, code architecture, and design patterns
Passion for writing automated tests (PHPUnit, E2E, etc.)

What You'll Do
As a key player on the team, you will:
Analyze and fix compatibility issues with third-party plugins and themes.
Collaborate with external developers to ensure smooth WPML integration.
Build internal tools and test cases to streamline workflows.
Take ownership of your code – from writing to testing and delivery.

Ready to make a meaningful impact at a company that values innovation and teamwork? Apply today and join our global team!","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
8,"Ruby on Rails Developer","OnTheGoSystems","100% remote","https://weworkremotely.com/remote-jobs/onthegosystems-ruby-on-rails-developer-9",NULL,"We are looking for expert RoR and React developers who are quick learners and passionate about their work.
Why Join Us?
Stable and self-funded: Founded in 2008, OTGS is proudly profitable and not dependent on external investments.
Fully remote global team: Collaborate with talented colleagues worldwide.
Industry leaders: Creators of WPML, the №1 multilingual plugin for WordPress, powering over 1.5 million sites.
Innovative projects: Currently building PTC (Private Translation Cloud), our next-generation SaaS platform for seamless software localization.
Professional growth: Structured mentorship programs for new team members.
Excellent benefits: Designed to support your well-being both inside and outside of work.
Positive culture: Genuinely kind, collaborative, and professional work environment.
Career advancement: Real opportunities for internal promotion and professional development.
Indicators You're a Great Fit
You have strong experience with Ruby on Rails and at least one modern JavaScript framework.
You're passionate about writing clean, maintainable, and high-quality code.
You have proven experience building and scaling robust systems.
You thrive on solving complex challenges independently within a collaborative team environment.
What You'll Do
As a valued developer on our team, you’ll participate in:
Feature planning and implementation
Maintenance and optimization
Test automation
Learn more about our PTC project, its current status, technology stack, and upcoming milestones.
Ready to make a meaningful impact at a company that values innovation and teamwork? Apply today and join our global team!","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
9,"Sr. Full Stack Developer","P3 Digital LLC","New York","https://weworkremotely.com/remote-jobs/p3-digital-llc-sr-full-stack-developer","$50,000 - $74,999 USD"," About This Role
We are looking for a Senior Full Stack Developer with deep expertise in the Shopify ecosystem, a strong grasp of headless architecture, and experience leading enterprise-scale development initiatives. You’ll be responsible for building scalable, high-performance eCommerce solutions using Shopify (including Hydrogen/Storefront API), Gadget.dev, and headless CMS platforms like Contentful, Sanity, or Strapi.
 You’ll work in close collaboration with cross-functional teams—design, product, DevOps, and QA—to architect, develop, and deploy robust eCommerce applications that push performance and scalability to new heights.
  Core Responsibilities
Architecture & Development
Architect full-stack applications with Shopify as the backend and modern front-end frameworks (Next.js, Remix, React, etc.) in a headless configuration.
Lead the development of scalable, modular, and high-performance Shopify applications, with a focus on maintainability.
Develop and optimize Gadget.dev-based applications, integrating them with Shopify APIs and third-party services.
Design system architecture that can handle enterprise traffic, catalog sizes, and multi-region deployment requirements.
⚙️ Integration & Infrastructure
Implement integrations with payment gateways, ERPs, CRMs, and third-party logistics providers.
Build performant API layers using GraphQL, REST, or custom middleware, handling Shopify storefront and admin APIs.
Utilize CI/CD pipelines, Git workflows, and automated deployment tools (e.g., GitHub Actions, Vercel, or Netlify) for streamlined releases.
Collaboration & Strategy
Work closely with product managers, designers, and technical leads to define technical requirements and timelines.
Serve as a senior technical advisor to junior developers and contribute to code reviews, architecture documentation, and best practices.
Assist in conducting performance audits, A/B tests, and code optimizations for ongoing projects.
✅ Required Skills & Experience
Shopify Ecosystem
5+ years of experience developing with Shopify, including Shopify Plus, Storefront API, Admin API, and Checkout customization.
Strong understanding of Hydrogen, Oxygen, Liquid, Shopify Functions, and Shopify theme development.
Full Stack Proficiency
Front-end: React, Next.js/Remix, Tailwind CSS, TypeScript
Backend: Node.js, Express.js, serverless functions
Database: PostgreSQL, MongoDB, or Shopify-native metafields & customer objects
Experience designing GraphQL schemas and working with Apollo or Relay.
Gadget.dev & Headless CMS
Strong experience working with Gadget.dev, especially in building Shopify-integrated apps and workflow automations.
Hands-on with headless CMS platforms like Contentful, Sanity or AEM.
Experience modeling content architecture for flexibility and localization.
️ Systems Thinking & Enterprise Expertise
Ability to lead large-scale Shopify implementations across multiple brands, currencies, and localized storefronts.
Comfortable designing multi-tenant architectures, CDN caching strategies, and edge function deployments.
Soft Skills & Culture Fit
Proven track record of leadership in development teams.
Clear, proactive communicator who values documentation and async collaboration.
Comfortable mentoring other engineers and leading by example.
Passionate about eCommerce innovation and delivering elegant, user-centered solutions.
Success Metrics
On-time delivery of milestone features with high test coverage.
Achieving performance targets for Core Web Vitals and Shopify storefront speed.
Stability and scalability of deployed architecture under enterprise-grade traffic.
Developer productivity improvements through tooling, automation, and documentation.
Creative mindset with the ability to collaborate effectively with creative teams.
 Why Join Us?
Dynamic Growth Opportunities: Be part of a fast-growing company where your contributions directly impact our success and your professional growth.
Innovative Culture: Work in an environment that encourages creativity, experimentation, and innovation in digital marketing.
Competitive Compensation: Enjoy a competitive salary, performance bonuses, and a comprehensive benefits package.
Remote Flexibility: Benefit from the flexibility to work from anywhere, fostering a healthy work-life balance.","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
10,"Senior TypeScript SDK Engineer","Nutrient","Raleigh, NC, USA","https://weworkremotely.com/remote-jobs/nutrient-senior-typescript-sdk-engineer",NULL,"Who We Are…
At Nutrient, we equip developers and innovators with cutting-edge tools to simplify workflows and accelerate impactful software creation. We’re on a mission to redefine how documents are created, shared, and experienced. Our software development kits enable companies to work smarter and faster, saving time and expenses along the way, while effectively replacing the need for paper processes.
Your Role at Nutrient…
The team you will be joining is responsible for the Nutrient Web SDK. Take a look at its API docs to get an understanding of the scope involved: It is a toolbox for web engineers and application developers who need a painless way to render, edit and process documents. It either runs client-side using WebAssembly or connects to the Nutrient Document Engine.
This means that our SDK has to work for diverse use cases we constantly keep learning about from our customers. It needs to be convenient to use and easy to integrate; well architected, tested and documented; and loved by LLMs.
Your day to day work ranges (depending on your personal preferences and the current priorities) from writing code and documentation to talking directly with customers in order to understand their use cases and devise solutions for them, which you will incorporate into the evolving architecture of the product.
If you think you have the aptitude to contribute to building this product we would like to hear from you. You'll have autonomy, learn a lot and will shape the future of this product.
What You’ll Bring…
Strong General Programming Skills: You're well versed in OOP & FP, data structures & algorithms and understand that even a client-side SDK forms part of a larger distributed system. You’re driven by a curiosity to understand how things work.
Passion for Building in the B2D Space:  You don't write code for the sake of it, but to provide value to our customers by getting the user/developer experience right
Collaborative and Self-Managing: You don't need hand-holding, and you're gaining energy from exchanging ideas, both async and sync.
Bias towards Shipping: You move fast and take ownership for solving problems from start to finish.
What We'll Bring…
We are a globally distributed company, backed by Insight Partners. We embrace a low-meeting culture and prioritize asynchronous communication to provide flexibility and focus. Working hours overlap with most of the team across the US, Europe, and Asia.
We offer competitive salaries, comprehensive benefits, and an annual global retreat to celebrate achievements and foster connections. Past retreats have taken place in locations like Croatia, Spain, and Greece. 
Nutrient believes in equal opportunity, we employ people from many different cultures and countries. We celebrate diversity and are committed to building a team that represents a variety of backgrounds, skill sets, perspectives, as well as providing our employees with a work environment free of harassment. We do not discriminate on the basis of race, color, religion, age, marital status, national origin, ancestry, physical or mental disability, medical condition, sexual orientation, gender identity or expression, or any other non-merit factor. 
We are a remote company. To ensure overlap with most of the team across the US, Europe and Asia, we’re looking for someone who will have a significant overlap with US and European working hours.  If working from the US, you must be located in Florida, Indiana, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, or Virginia for payroll processing.","WeWorkRemotely","2025-08-20 20:46:23.371674+05:30"
